game_id,price_cny,playtime_hours,positive_rate,review_count,chinese_support,tag_count,release_year
1,110.04,7.0,0.871,50,1,5,2018
2,62.95,18.1,0.834,3548,1,5,2023
3,35.84,6.6,0.809,1092,0,7,2016
4,36.95,7.8,0.827,860,1,10,2020
5,70.08,13.9,0.839,804,1,4,2022
6,81.14,4.6,0.671,11392,1,7,2023
7,8.4,8.2,0.739,40534,1,6,2021
8,18.26,6.4,0.653,13730,1,9,2020
9,53.3,14.6,0.869,621,0,4,2023
10,43.0,7.2,0.775,3156,1,7,2019
11,76.11,2.2,0.822,22489,1,11,2019
12,107.17,64.9,0.793,483,1,5,2020
13,16.44,11.0,0.894,20466,1,5,2021
14,34.24,6.5,0.88,4306,1,4,2021
15,82.8,14.8,0.837,2127,0,4,2021
16,67.84,12.1,0.919,3160,1,10,2017
17,31.49,7.7,0.911,88827,1,6,2020
18,34.82,54.4,0.761,2679,0,8,2020
19,71.25,1.9,0.943,5181,1,6,2017
20,25.54,3.1,0.789,177868,0,5,2017
21,45.83,12.9,0.701,182,1,8,2022
22,94.18,16.6,0.883,167278,1,4,2019
23,16.55,3.6,0.8,778,1,7,2021
24,16.69,5.5,0.756,418678,0,7,2017
25,73.3,28.2,0.776,346,1,6,2020
26,23.81,21.8,0.607,726,1,5,2015
27,32.47,2.0,0.852,7061,0,10,2016
28,16.11,32.7,0.714,140736,1,5,2022
29,32.75,43.0,0.507,5267,0,7,2021
30,59.38,13.3,0.643,14661,1,8,2016
31,61.16,103.6,0.9,45648,0,6,2019
32,63.71,3.7,0.881,63661,0,4,2021
33,17.14,18.4,0.811,9306,0,3,2022
34,31.27,42.4,0.83,33937,1,7,2023
35,26.82,44.5,0.951,127532,1,4,2023
36,37.51,19.7,0.877,15171,1,13,2020
37,80.38,13.5,0.7,165,0,4,2021
38,49.22,25.7,0.686,2197,1,6,2022
39,37.26,11.0,0.862,1237,1,5,2021
40,45.04,20.1,0.947,3160,1,6,2020
41,72.34,10.1,0.915,6327,1,5,2016
42,40.59,14.8,0.936,26995,1,6,2022
43,57.64,12.0,0.866,2121,1,5,2020
44,31.96,50.7,0.813,1888,0,7,2016
45,41.33,24.7,0.922,703,1,5,2017
46,33.17,16.2,0.758,407110,1,3,2018
47,65.71,9.9,0.761,4150,1,4,2017
48,41.76,4.4,0.808,1790,1,10,2022
49,18.33,10.3,0.831,122,1,6,2020
50,21.16,24.5,0.818,5434,0,5,2023
51,32.28,23.5,0.752,2864,0,8,2019
52,44.22,10.6,0.569,36716,0,4,2022
53,120.18,9.9,0.864,4306,1,3,2020
54,56.35,1.9,0.735,2222,0,6,2019
55,29.27,14.2,0.857,24091,1,9,2022
56,70.54,12.7,0.789,4133,1,5,2021
57,83.04,3.7,0.784,5610,0,6,2020
58,40.89,4.0,0.849,38363,1,9,2018
59,74.41,20.9,0.698,19403,0,3,2016
60,19.87,13.4,0.844,73581,1,10,2018
61,116.57,30.7,0.83,9865,0,8,2019
62,25.52,22.3,0.768,4512,1,5,2015
63,47.31,25.1,0.804,2477,1,4,2021
64,16.58,53.2,0.798,7690,0,4,2022
65,53.43,33.0,0.933,3659,1,7,2018
66,60.97,13.7,0.895,4225,0,6,2020
67,9.66,6.7,0.867,24368,1,9,2022
68,40.27,6.9,0.665,1186,1,11,2020
69,29.13,1.4,0.871,919,1,6,2021
70,53.78,4.9,0.723,940,0,4,2017
71,16.14,13.1,0.716,2009,1,6,2019
72,128.2,7.2,0.72,4607,0,8,2022
73,37.06,10.9,0.761,27932,1,2,2019
74,33.72,22.1,0.768,822,1,12,2017
75,23.44,6.3,0.785,11405,1,4,2024
76,74.04,13.2,0.655,1354,1,5,2021
77,105.42,22.5,0.957,8533,1,6,2015
78,18.65,24.1,0.819,4849,1,7,2017
79,29.81,13.2,0.807,566,1,6,2022
80,70.76,5.6,0.895,1243,1,11,2020
81,54.44,4.4,0.791,22801,1,6,2020
82,25.07,13.9,0.828,2149,1,7,2016
83,46.96,35.9,0.95,18133,0,11,2017
84,73.52,37.1,0.756,584,0,6,2021
85,23.59,24.4,0.841,19774,1,7,2018
86,55.77,12.0,0.545,45798,1,7,2019
87,77.42,9.6,0.854,537,1,5,2019
88,42.76,30.9,0.872,6142,1,10,2016
89,27.63,5.5,0.93,500000,1,9,2023
90,57.7,18.3,0.882,1824,1,5,2015
91,30.72,14.1,0.814,2334,1,6,2021
92,170.54,24.4,0.754,487,1,7,2019
93,22.15,12.2,0.912,10120,1,6,2022
94,49.16,21.6,0.85,1701,0,9,2020
95,93.66,12.9,0.803,199,1,9,2018
96,30.92,31.6,0.599,2077,0,10,2019
97,19.37,10.3,0.585,21682,0,8,2015
98,20.86,56.1,0.69,52,1,7,2022
99,24.32,4.1,0.877,10673,1,5,2019
100,29.16,6.6,0.813,3300,1,6,2017
101,42.62,10.4,0.802,2689,1,6,2019
102,43.05,2.7,0.769,1751,1,4,2015
103,61.19,13.2,0.632,908,1,8,2020
104,53.64,36.5,0.713,6232,0,8,2021
105,15.39,11.5,0.838,46540,1,7,2017
106,79.59,6.0,0.749,172425,1,7,2022
107,26.5,26.9,0.769,8692,1,6,2018
108,15.19,6.7,0.768,13827,0,6,2016
109,51.46,11.2,0.885,18187,1,8,2019
110,37.08,9.6,0.96,4673,0,5,2016
111,27.89,22.2,0.761,950,1,8,2020
112,29.88,200.0,0.708,127370,1,9,2018
113,70.19,23.5,0.628,4383,1,6,2024
114,39.95,6.8,0.784,1375,1,10,2023
115,36.46,9.2,0.943,63359,1,9,2017
116,46.09,15.1,0.858,1805,1,4,2024
117,18.47,42.0,0.868,6616,0,7,2023
118,42.47,26.7,0.868,2725,1,9,2016
119,34.87,19.9,0.801,1370,1,5,2022
120,65.81,14.0,0.984,13445,1,6,2020
121,43.2,10.2,0.656,6744,1,5,2020
122,126.05,17.3,0.714,183,1,9,2020
123,57.63,61.6,0.798,52823,0,4,2017
124,45.15,14.3,0.886,108,1,5,2018
125,27.74,20.4,0.864,47551,1,6,2017
126,20.76,58.6,0.893,232,1,5,2017
127,22.85,55.6,0.775,17711,0,8,2020
128,117.53,11.6,0.628,2787,1,4,2016
129,56.39,8.2,0.931,43129,1,5,2020
130,32.57,8.9,0.682,16082,0,5,2020
131,87.28,9.5,0.701,512,1,5,2020
132,11.81,15.8,0.621,2401,0,9,2019
133,23.79,7.0,0.888,42512,1,6,2020
